[22.03.2016 | 16:21:55] Talorin.Goldberry: Jemand ne Ahnung wo die vinetwork Base ist? Chat per /ooc [Text]
[09.04.2016 | 14:42:28] Marcel.Gamer: vlt sollten wir mal in yt video machen
[09.04.2016 | 14:42:51] Georg.Dampfnudel: Da bräuchte man einen YT Kanal mit mehreren Abos
[09.04.2016 | 14:43:03] Ben.Akaisda: MatzeGam1ngTv
[09.04.2016 | 14:43:14] Georg.Dampfnudel: Wv hat er ?
[09.04.2016 | 14:46:13] Ben.Akaisda: https://www.youtube.com/user/MatzeGam1ng/featured da hast link kannst unter F8 kopieren ^^
[09.04.2016 | 14:50:47] Talorin.Goldberry: Och nö... Der hat eingestellt, dass man die Zahl seiner Abos nicht sehen kann
[09.04.2016 | 14:55:47] Florian.Mrpacman: hallo
[09.04.2016 | 14:55:52] Ben.Akaisda: servus
[09.04.2016 | 14:59:16] Florian.Mrpacman: wie gehts euch alle ?
[09.04.2016 | 15:00:05] Georg.Dampfnudel: Gut dir ?
[09.04.2016 | 15:00:18] Ben.Akaisda: gut und dir ?
[09.04.2016 | 15:00:31] Florian.Mrpacman: mir auch
[09.04.2016 | 15:00:57] Florian.Mrpacman: ben darf ich meine flugzeuge am flughafen parken ?
[09.04.2016 | 15:01:24] Marcel.Gamer: nein darfste net weil der flughafen nur für autos ist
[09.04.2016 | 15:02:05] Florian.Mrpacman: ben darf ich meine flugzeuge von der fahrschule am flughafen parken ?
[09.04.2016 | 15:02:16] Ben.Akaisda: klaro :D
[09.04.2016 | 15:02:52] Florian.Mrpacman: alter mein ping
[09.04.2016 | 15:03:13] Ben.Akaisda: dan hör auf pornos runter zuladen :D
[09.04.2016 | 15:03:27] Florian.Mrpacman: sorry du moddel
[09.04.2016 | 15:04:44] Florian.Mrpacman: kann mich einer am flugahfen abhollen
[09.04.2016 | 15:05:12] Ben.Akaisda: kann leider nicht marcel is bei mir drinne
[09.04.2016 | 15:05:32] Florian.Mrpacman: und gerog
[09.04.2016 | 15:05:42] Florian.Mrpacman: georg*
[09.04.2016 | 15:06:18] Georg.Dampfnudel: Grad Unterwegs
[09.04.2016 | 15:07:46] Georg.Dampfnudel: Ben der Truck steht bei euch wieder
[09.04.2016 | 15:07:59] Ben.Akaisda: jo ok danke
[09.04.2016 | 15:08:44] Georg.Dampfnudel: Ich sag danke .)
[09.04.2016 | 15:09:22] Florian.Mrpacman: ich mach heute party und ihr
[09.04.2016 | 15:09:27] Florian.Mrpacman: ;D
[09.04.2016 | 15:09:54] Marcel.Gamer: gerade du
[09.04.2016 | 15:10:19] Georg.Dampfnudel: Florian du hast glaube gleich Arbeit :D
[09.04.2016 | 15:10:52] Florian.Mrpacman: das hoffe ich nicht ;/
[09.04.2016 | 15:11:07] Georg.Dampfnudel: Warum :D ?
[09.04.2016 | 15:11:11] Marcel.Gamer: dampfnudel ?
[09.04.2016 | 15:11:16] Georg.Dampfnudel: Ja
[09.04.2016 | 15:11:18] Florian.Mrpacman: muss gleich wieder weg
[09.04.2016 | 15:11:38] Marcel.Gamer: hast du mein towtruck gesehen ?
[09.04.2016 | 15:11:51] Georg.Dampfnudel: Ne der war ja am Parkplatz oder ?
[09.04.2016 | 15:11:54] Florian.Mrpacman: ich warte nur bis mich einer am flughafen abhollt
[09.04.2016 | 15:12:14] Marcel.Gamer: der war bei autofix auf dem hof
[09.04.2016 | 15:12:36] Georg.Dampfnudel: HmH
[09.04.2016 | 15:13:04] Georg.Dampfnudel: Hi Elias mit /ooc TEXT kannst du mit uns schreiben :)
[09.04.2016 | 15:13:37] Elias.Meier: Weiß ich kenn das Script selbst.-
[09.04.2016 | 15:15:31] Florian.Mrpacman: BEN komm mal bitte zur fahrschule
[09.04.2016 | 15:15:41] Ben.Akaisda: jo komme
[09.04.2016 | 15:15:52] Florian.Mrpacman: danki#
[09.04.2016 | 15:17:58] Matze.Gamingtv: Sebastian warum hast du dich Blablabla... genannt?
[09.04.2016 | 15:18:28] Blablabla.Blablabla: Kenne kein Anderen Namen und so ist auch mein Nachname
[09.04.2016 | 15:18:59] Matze.Gamingtv: Wir sind aber ein Roleplay Server, Das heißt man soll sich ein Realistischen Namen aussuchen und das ist dein Name nicht
[09.04.2016 | 15:19:32] Elias.Meier: Naja dein Name ist jetzt auch nicht RolePlay!!
[09.04.2016 | 15:19:34] Blablabla.Blablabla: Das ist doch meine Entscheidung oder ?!!!!?!?!?!?!?!
[09.04.2016 | 15:21:37] Matze.Gamingtv: Meinen Namen ist in der Menschen Welt bekannt. Aber Blablabla ist ein Name der nicht akzeptiert wird auf diesen Roleplay Server.
[09.04.2016 | 15:21:42] Florian.Mrpacman: matze die dodo will net fliegen
[09.04.2016 | 15:21:55] Elias.Meier: Kenne dich vom MTA -SA Forum
[09.04.2016 | 15:22:13] Mr.Pedo: Hallo
[09.04.2016 | 15:22:18] Florian.Mrpacman: hay
[09.04.2016 | 15:22:27] Mr.Pedo: Oh dachte das wer der Login Name...
[09.04.2016 | 15:22:54] Matze.Gamingtv: Mich kennen viele aus dem MTA-SA Forum
[09.04.2016 | 15:23:07] Mr.Pedo: Ne?
[09.04.2016 | 15:23:13] Elias.Meier: Jaa daher kenn ich dich
[09.04.2016 | 15:23:22] Mr.Pedo: Ich bin Donesty aufm MTA Forum mich kennt jeder
[09.04.2016 | 15:23:52] Matze.Gamingtv: Das glaub ich weniger das du Doneasty bist, Den der Echte Doneasty hätte sein Namen Richtig geschrieben
[09.04.2016 | 15:23:55] Mr.Pedo: Sucht ihr noch Leader?
[09.04.2016 | 15:24:31] Florian.Mrpacman: ich war noch nie auf dem mta forum XD
[09.04.2016 | 15:24:31] Mr.Pedo: kommt alle auf Village Town nice Admins etc
[09.04.2016 | 15:25:04] Elias.Meier: Gibts es hier Neon?
[09.04.2016 | 15:25:22] Matze.Gamingtv: Nein gibt es noch nicht, Das wirt laufe der Zeit noch kommen
[09.04.2016 | 15:26:08] Matze.Gamingtv: Leader Plätze wirt nur an User Vergeben die Ts3 haben.
[09.04.2016 | 15:26:39] Mr.Pedo: hab Ts
[09.04.2016 | 15:26:49] Mr.Pedo: Darf ich in Polizei?
[09.04.2016 | 15:27:35] Matze.Gamingtv: Polizei Leader gibt es schon, Wenn du in die Polizei möchtest musst du dich an den Leader wenden.
[09.04.2016 | 15:27:49] Mr.Pedo: welche sind frei?
[09.04.2016 | 15:28:13] Matze.Gamingtv: 1x Gebrauchtwagen Händler
[09.04.2016 | 15:28:18] Blablabla.Blablabla: Suchen die kack Bullen noch ?
[09.04.2016 | 15:28:21] Matze.Gamingtv: 1x San News
[09.04.2016 | 15:28:40] Mr.Pedo: darf ich Autohaus also GEbrauchtwagen?
[09.04.2016 | 15:28:44] Mr.Pedo: Wie isn Ts Ip
[09.04.2016 | 15:30:56] Blablabla.Blablabla: WHY KICK ?
[09.04.2016 | 15:31:02] Matze.Gamingtv: Wir wollen auf diesen Server keine User die Unternehmen oder User beleidigen/schlecht Reden
[09.04.2016 | 15:31:03] Blablabla.Blablabla: Grund ?
[09.04.2016 | 15:31:24] Blablabla.Blablabla: HÄ
[09.04.2016 | 15:31:27] Florian.Mrpacman: wie viel kosten denn das
[09.04.2016 | 15:31:35] Mr.Pedo: Matze?
[09.04.2016 | 15:31:53] Marcel.Gamer: ts3: 79.133.59.107
[09.04.2016 | 15:32:01] Matze.Gamingtv: Und deine Aussage ( Kack Bullen ) bringt genau Punkt 2. ( Unternehmen / User schlecht Reden
[09.04.2016 | 15:32:43] Blablabla.Blablabla: Sorry mach ich nie wieder
[09.04.2016 | 15:33:55] Florian.Mrpacman: matze ich hab jetzt die dodos am airport parken ok ?
[09.04.2016 | 15:34:04] Matze.Gamingtv: Jo
[09.04.2016 | 15:39:07] Pimmel.Kopf: hi
[09.04.2016 | 15:39:59] Mr.Jacksons: geiler name
[09.04.2016 | 15:40:13] Pimmel.Kopf: geiler als deiner
[09.04.2016 | 15:40:22] Mr.Jacksons: tja..
[09.04.2016 | 15:46:10] Ron.Noname: Matze?
[09.04.2016 | 15:47:33] Georg.Dampfnudel: Jackson möchtest du zur Polizei ?
[09.04.2016 | 15:47:52] Mr.Jacksons: mhm
[09.04.2016 | 15:47:53] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:53] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:54] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:54] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:54] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:54] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:54] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:54] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:55] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:55] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:55] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:55] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:55] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:55] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:56] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:56] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:56] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:56] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:57] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:57] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:57] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:57] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:57] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:57] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:58] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:58] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:58] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:58] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:58] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:58] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:59] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:59] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:59] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:59] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:47:59] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:00] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:00] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:00] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:00] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:00] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:01] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:01] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:02] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:02] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:02] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:02] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:02] Mr.Pedo: Nice ;)
[09.04.2016 | 15:48:03] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:03] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:03] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:03] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:04] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:04] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:04] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:04] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:04] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:04] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:05] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:05] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:05] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:05] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:05] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:06] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:06] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:06] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:06] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:06] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:07] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:07] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:07] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:07] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:07] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:07] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:08] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:08] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:08] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:08] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:08] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:09] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:09] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:09] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:09] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:09] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:10] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:10] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:10] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:10] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:10] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:11] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:11] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:11] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:11] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:11] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:12] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:12] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:12] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:12] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:12] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:12] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:13] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:13] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:13] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:13] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:13] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:14] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:14] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:14] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:14] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:14] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:14] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:15] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:15] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:15] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:15] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:15] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:16] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:16] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:16] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:16] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:16] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:17] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:17] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:17] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:17] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:17] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:18] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:18] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:18] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:18] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:18] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:19] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:19] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:19] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:19] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:19] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:20] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:20] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:20] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:20] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:20] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:21] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:21] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:21] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:21] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:21] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:22] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:22] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:22] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:22] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:22] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:23] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:23] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:23] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:23] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:23] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:24] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:24] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:24] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:24] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:24] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:25] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:25] Pimmel.Kopf: Bitte verlasssen sie alles
[09.04.2016 | 15:48:25] Mr.Pedo: Richtiger Kevin -.-
[09.04.2016 | 15:48:46] Mr.Jacksons: aber echt..
[09.04.2016 | 15:48:59] Georg.Dampfnudel: Jackson meld dich einfach falls du möchtest :D
[09.04.2016 | 15:49:07] Mr.Jacksons: wo?
[09.04.2016 | 15:49:26] Georg.Dampfnudel: TS
[09.04.2016 | 15:49:37] Ron.Noname: Braucht ihr noch Ein Heaven Devils Leader?
[09.04.2016 | 15:50:17] Mr.Jacksons: wie issndie ip vom ts?
[09.04.2016 | 15:50:42] Matze.Gamingtv: 79.133.59.107
[09.04.2016 | 17:20:24] Matze.Gamingtv: 79.133.59.107
[09.04.2016 | 17:20:45] Matze.Gamingtv: Unserre Ts3 Ip: 79.133.59.107
[09.04.2016 | 17:46:56] Matze.Gamingtv: Georg?
[09.04.2016 | 17:50:32] Georg.Dampfnudel: Ja
[09.04.2016 | 18:32:11] Matze.Gamingtv: Wenn man Teamspeak 3 hat.
[09.04.2016 | 18:33:20] Matze.Gamingtv: Du kannst auch in den OOC Chat schreiben mit /ooc Texst
[09.04.2016 | 18:33:41] Prince.Boateng: ich hhabe ts. welche frakis sind noch frei ?
[09.04.2016 | 18:33:58] Matze.Gamingtv: Unserre Ts3 Ip: 79.133.59.107
[09.04.2016 | 18:34:17] Prince.Boateng: bin im ts
[09.04.2016 | 18:35:42] Prince.Boateng: in welchen Fraktionen sind noch Leaderplätze frei ? Und wo sind noch normale Plätze frei ?
[09.04.2016 | 18:37:49] Prince.Boateng: was ist jz ?
[09.04.2016 | 18:38:40] Ben.Akaisda: in dem radhaus kannst du sehen welches unternehmen noch mitarbeiter sucht
[09.04.2016 | 18:39:14] Ben.Akaisda: das is der gelbe punkt auf der map wo oben rechts von LV is
[09.04.2016 | 18:40:03] Prince.Boateng: ich weiß gibts welche wo noch keiner drin ist ?
[09.04.2016 | 18:41:55] Ben.Akaisda: da mpsste ich mich infomieren
[09.04.2016 | 18:42:04] Ben.Akaisda: *müsste
[09.04.2016 | 18:43:05] Ben.Akaisda: es sind noch san news und der gebrauchtwagen händler autosout 45
[09.04.2016 | 18:43:35] Prince.Boateng: kann ich gebrauchtwagenhändler leader werden ?
[09.04.2016 | 18:43:47] Ben.Akaisda: jo
[09.04.2016 | 18:44:57] Prince.Boateng: ok
[09.04.2016 | 18:44:59] Ben.Akaisda: so bist drinne
[09.04.2016 | 18:45:15] Prince.Boateng: ok danke
[09.04.2016 | 18:46:06] Ben.Akaisda: deine base ist in SF und zwar is das Wangcars beim bahnhof
[09.04.2016 | 18:46:21] Prince.Boateng: ok
[09.04.2016 | 18:46:28] Ron.Noname: Ryan?
[09.04.2016 | 18:46:52] Prince.Boateng: wo ist die Fahrschule hier ?
[09.04.2016 | 18:47:02] Ryan.McMillen: Ja?
[09.04.2016 | 18:47:04] Ben.Akaisda: beim roten S
[09.04.2016 | 18:49:35] Prince.Boateng: und wie ist der befehl um einen Fahrlehrer zu rufen ?
[09.04.2016 | 18:50:12] Matze.Gamingtv: ./fschule Grund
[09.04.2016 | 18:57:21] Prince.Boateng: wie greife ich auf das firmenkonto zu also welchen namen ?
[09.04.2016 | 18:57:43] Georg.Dampfnudel: Ich glaub das bei dir fast nichts mehr oben ist
[09.04.2016 | 18:57:57] Ben.Akaisda: den firmen namen beim atm einfach eingeben
[09.04.2016 | 18:59:42] Prince.Boateng: und welcher ist das AutoScout24 und AutoScout und Autoscout geht nicht
[09.04.2016 | 18:59:59] Ben.Akaisda: AutoScout45
[09.04.2016 | 19:00:23] Prince.Boateng: hab statt 45 24 geschrieben jz gehts
[09.04.2016 | 19:03:06] Ryan.McMillen: Wo ist Gebrauchtwagenhändler?
[09.04.2016 | 19:03:57] Ben.Akaisda: das rote auto wo in sf is und das weiße auf den blauen hintergund in ls
[09.04.2016 | 19:04:26] Ryan.McMillen: ok danke
[09.04.2016 | 19:04:27] Matze.Gamingtv: Deine Base ist WangCars in San Fierro
[09.04.2016 | 19:04:55] Matze.Gamingtv: Damit ist Prince gemeint
[09.04.2016 | 19:06:05] Prince.Boateng: jo weiß ich
[09.04.2016 | 19:07:21] Matze.Gamingtv: Maxi? Du Ts kommen mal?
[09.04.2016 | 19:07:45] Talorin.Goldberry: Wenn du nebenbei den Vodafone Kundendienst hören willst. Ich versuch nur gerade
[09.04.2016 | 19:07:55] Talorin.Goldberry: eine stabile Internetverbindung aufzubauen
[09.04.2016 | 19:07:59] Matze.Gamingtv: Ok, Stört mich wenig
[09.04.2016 | 19:17:35] Georg.Dampfnudel: Ben
[09.04.2016 | 19:17:44] Georg.Dampfnudel: Brauch Tüv für mein Motorrad
[09.04.2016 | 19:18:20] Ben.Akaisda: jo komm zur autofix base
[09.04.2016 | 19:20:00] Prince.Boateng: kurz afk essen
[09.04.2016 | 19:20:04] Jay.Mcmillen: Wäre ein Polizist da der mit mir den Führerschein machen könnte ? Falls ja wie viel kostet
[09.04.2016 | 19:20:08] Jay.Mcmillen: der ?
[09.04.2016 | 19:20:19] Matze.Gamingtv: Polizei macht keine Scheine
[09.04.2016 | 19:20:25] Matze.Gamingtv: Das macht die Fahrschule
[09.04.2016 | 19:20:31] Ryan.McMillen: Lol wurde geändert?
[09.04.2016 | 19:20:33] Jay.Mcmillen: oh ehm
[09.04.2016 | 19:20:55] Matze.Gamingtv: Fahrschule? Führerscheine!
[09.04.2016 | 19:21:13] Ryan.McMillen: War davor ja polizei
[09.04.2016 | 19:21:25] Ryan.McMillen: Is kein Fahrlehrer on .. ^^
[09.04.2016 | 19:21:27] Matze.Gamingtv: Ist aber leicht Unrealistisch
[09.04.2016 | 19:21:38] Ryan.McMillen: Ja aber war ja so deswegen wusste nich das es geändert wurde
[09.04.2016 | 19:21:38] Webi.Profi: test
[09.04.2016 | 19:21:42] Matze.Gamingtv: Klar ist einer Online :D
[09.04.2016 | 19:21:51] Ryan.McMillen: haha:D
[09.04.2016 | 19:21:55] Jay.Mcmillen: xD
[09.04.2016 | 19:22:00] Jay.Mcmillen: ja dann :D
[09.04.2016 | 19:28:13] Georg.Dampfnudel: Ich wäre am Autofix ihr habt mir keinen Tüv drauf gemacht :D
[09.04.2016 | 19:36:46] Prince.Boateng: darf ich meine autos nur bei Wang Cars hinstellen ?
[09.04.2016 | 19:57:54] Jonas.Williams: hi
[09.04.2016 | 19:57:54] Jonas.Williams: hii
[09.04.2016 | 19:57:54] Jonas.Williams: hiiii
